jerk	frank kang
fred	cute little terrier mut that loves frank
chewie	cute border terrier mut that still loves frank
bomie	cute maltiepoo that loves frank alot and follows him around and farts in his face
tori	cute little poodle that is being held hostage by an evil bitch
Malu	frank's awesome princess daughter
Mira	the wife
Verifi	frank's work place
shoes	frank's primary means of transportation
suit	something frank has never owned
ps3	video game console that is broken due to neglect
analysis	abstract separation of a whole into its constituent parts
approach	move towards
area	the extent of a two-dimensional surface within a boundary
assessment	the act of judging a person or situation or event
assume	take to be the case or to be true
authority the power or right to give orders or make decisions
available	obtainable or accessible and ready for use or service
benefit	something that aids or promotes well-being
concept	an abstract or general idea inferred from specific instances
consistent	the same throughout in structure or composition
constitutional	existing as an essential characteristic
context	the set of facts or circumstances that surround a situation
contract	a binding agreement that is enforceable by law
create	bring into existence
derived	formed or developed from something else; not original
environment	the totality of surrounding conditions
evidence	knowledge on which to base belief
function	what something is used for
interpretation	the act of expressing something in an artistic performance
labour	productive work (especially physical work done for wages)
legal	established by or founded upon law or official rules
method	a way of doing something, especially a systematic way
principle	a basic generalization that is accepted as true

